family,ligand_id,x,y,z,cluster,kept
Donor,6PS2_JTZ_A1201,-33.114,8.299,7.235,1,1
Donor,6PS2_JTZ_A1201,-32.903,10.954,8.116,1,1
Donor,8W1V_A1AE2_B1201,-33.45,8.33,7.714,1,1
Donor,8W1V_A1AE2_B1201,-25.664,3.019,9.736,0,0
Donor,8W1V_A1AE2_B1201,-33.45,11.09,7.719,1,1
Donor,8W1V_A1AE2_B1201,-26.521,-0.089,8.446,0,0
Acceptor,6PS2_JTZ_A1201,-32.903,10.954,8.116,1,1
Acceptor,6PS2_JTZ_A1201,-29.436,10.639,7.28,1,1
Acceptor,8W1V_A1AE2_B1201,-35.439,3.317,6.863,0,1
Acceptor,8W1V_A1AE2_B1201,-35.839,2.468,7.901,0,1
Acceptor,8W1V_A1AE2_B1201,-29.945,10.676,7.129,1,1
Acceptor,8W1V_A1AE2_B1201,-33.45,11.09,7.719,1,1
Acceptor,8W1V_A1AE2_B1201,-28.394,-0.56,9.939,2,0
Acceptor,8W1V_A1AE2_B1201,-26.521,-0.089,8.446,2,0
Acceptor,9W3F_BER_A1201,-26.644,10.464,5.967,1,1
Acceptor,9W3F_BER_A1201,-27.942,12.282,5.67,1,1
Acceptor,9W3F_BER_A1201,-33.538,3.953,9.276,0,1
Acceptor,9W3F_BER_A1201,-31.905,1.907,10.259,0,1
PosIonizable,6PS2_JTZ_A1201,-33.114,8.299,7.235,1,1
PosIonizable,8W1V_A1AE2_B1201,-33.45,8.33,7.714,1,1
PosIonizable,8W1V_A1AE2_B1201,-25.664,3.019,9.736,0,0
PosIonizable,9W3F_BER_A1201,-31.832,7.474,7.712,1,1
Aromatic,6PS2_JTZ_A1201,-27.219,11.236,5.651,1,1
Aromatic,8W1V_A1AE2_B1201,-35.571,3.617,7.993,0,1
Aromatic,8W1V_A1AE2_B1201,-27.801,11.886,5.748,1,1
Aromatic,8W1V_A1AE2_B1201,-31.04,-0.285,10.782,0,1
Aromatic,9W3F_BER_A1201,-31.02,6.462,8.192,0,1
Aromatic,9W3F_BER_A1201,-29.334,10.048,6.654,1,1
Aromatic,9W3F_BER_A1201,-30.755,4.245,9.218,0,1
LumpedHydrophobe,6PS2_JTZ_A1201,-27.219,11.236,5.651,0,1
LumpedHydrophobe,6PS2_JTZ_A1201,-33.49,6.611,6.502,1,1
LumpedHydrophobe,8W1V_A1AE2_B1201,-27.801,11.886,5.748,0,1
LumpedHydrophobe,8W1V_A1AE2_B1201,-31.04,-0.285,10.782,1,1
LumpedHydrophobe,8W1V_A1AE2_B1201,-25.956,4.527,10.723,1,1
LumpedHydrophobe,9W3F_BER_A1201,-29.334,10.048,6.654,0,1
LumpedHydrophobe,9W3F_BER_A1201,-30.755,4.245,9.218,1,1
