family,ligand_id,x,y,z,cluster,kept
Acceptor,6HUO_08H_D501,240.715,217.659,239.637,0,1
Acceptor,6HUO_08H_D501,239.721,218.281,240.393,0,1
Acceptor,6X3X_DZP_D404,239.75,218.862,240.562,0,1
Acceptor,8VQY_A1ADG_E401,238.139,213.222,242.771,1,0
Acceptor,8VQY_A1ADG_E401,237.005,216.811,241.619,0,1
Aromatic,6HUO_08H_D501,239.624,217.323,239.756,1,0
Aromatic,6HUO_08H_D501,236.881,214.657,238.651,1,0
Aromatic,6HUO_08H_D501,236.46,213.464,243.391,0,0
Aromatic,6X3X_DZP_D404,236.524,213.897,243.487,0,0
Aromatic,6X3X_DZP_D404,237.219,214.957,238.392,1,0
Aromatic,8VQY_A1ADG_E401,239.121,215.989,238.838,1,0
Aromatic,8VQY_A1ADG_E401,237.734,214.45,242.394,0,0
Aromatic,8VQY_A1ADG_E401,236.504,214.605,244.427,0,0
