family,ligand_id,x,y,z,cluster,kept
Acceptor,7W9K_9Z9_A2006,121.366,123.722,101.773,0,1
Acceptor,7W9K_9Z9_A2006,123.438,126.21,97.21,1,0
Acceptor,7W9K_9Z9_A2006,121.981,124.598,95.743,1,0
Acceptor,7W9K_9Z9_A2006,124.286,126.762,111.768,2,0
Acceptor,7W9K_9Z9_A2006,123.598,127.242,113.961,2,0
Acceptor,8I5B_OJ0_A2021,123.529,123.004,105.938,0,1
Acceptor,8S9B_LQO_A2003,120.418,123.577,104.406,0,1
Acceptor,8S9B_LQO_A2003,119.907,124.833,100.809,1,0
Acceptor,8S9B_LQO_A2003,124.133,123.236,101.955,0,1
Acceptor,8S9C_N6W_A2003,122.721,121.816,103.376,0,1
Acceptor,8THH_IYJ_A2004,122.856,123.201,105.729,0,1
Acceptor,8THH_IYJ_A2004,122.698,125.97,106.126,0,1
Acceptor,8THH_IYJ_A2004,123.395,123.777,106.846,0,1
LumpedHydrophobe,7W9K_9Z9_A2006,121.577,125.688,108.639,1,1
LumpedHydrophobe,8I5B_OJ0_A2021,126.154,121.158,104.206,0,0
LumpedHydrophobe,8S9B_LQO_A2003,123.444,125.114,108.18,1,1
LumpedHydrophobe,8S9C_N6W_A2003,126.165,123.266,103.622,0,0
LumpedHydrophobe,8S9C_N6W_A2003,123.3,124.749,107.239,1,1
LumpedHydrophobe,8THH_IYJ_A2004,121.135,122.902,102.455,2,0
Donor,8I5B_OJ0_A2021,122.228,125.389,105.287,0,1
Donor,8I5B_OJ0_A2021,125.174,123.687,104.633,1,0
Donor,8S9B_LQO_A2003,120.877,123.016,101.873,0,1
Donor,8S9B_LQO_A2003,122.04,125.24,104.628,0,1
Donor,8S9C_N6W_A2003,121.321,123.16,104.526,0,1
Donor,8THH_IYJ_A2004,121.522,126.188,104.06,0,1
Donor,8THH_IYJ_A2004,123.888,125.448,108.149,1,0
PosIonizable,8I5B_OJ0_A2021,122.228,125.389,105.287,0,0
Aromatic,8I5B_OJ0_A2021,126.154,121.158,104.206,1,0
Aromatic,8S9B_LQO_A2003,123.444,125.114,108.18,0,1
Aromatic,8S9C_N6W_A2003,126.165,123.266,103.622,1,0
Aromatic,8S9C_N6W_A2003,123.3,124.749,107.239,0,1
Aromatic,8THH_IYJ_A2004,121.135,122.902,102.455,2,0
Aromatic,8THH_IYJ_A2004,122.775,124.574,105.924,0,1
